starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 09 14:22:21 2024	1731151341	0	10	10	10
Sat Nov 09 14:22:21 2024	1731151341	0	12	12	11
Sat Nov 09 14:22:24 2024	1731151344	0	13	13	13
Sat Nov 09 14:22:21 2024	1731151341	0	15	15	15
Sat Nov 09 14:22:21 2024	1731151341	0	16	16	15
Sat Nov 09 14:22:20 2024	1731151340	0	15	16	14
Sat Nov 09 14:22:21 2024	1731151341	0	18	18	18
Sat Nov 09 14:22:21 2024	1731151341	0	18	18	18
Sat Nov 09 14:22:20 2024	1731151340	0	18	18	18
Sat Nov 09 14:22:26 2024	1731151346	0	18	18	18
Sat Nov 09 14:22:24 2024	1731151344	0	19	19	19
Sat Nov 09 14:22:21 2024	1731151341	0	19	19	19
Sat Nov 09 14:22:25 2024	1731151345	0	20	20	20
Sat Nov 09 14:22:24 2024	1731151344	0	20	20	20
Sat Nov 09 14:22:21 2024	1731151341	0	21	21	21
Sat Nov 09 14:22:21 2024	1731151341	0	21	21	21
Sat Nov 09 14:22:26 2024	1731151346	0	22	22	21
Sat Nov 09 14:22:20 2024	1731151340	0	22	22	21
Sat Nov 09 14:22:21 2024	1731151341	0	22	22	22
Sat Nov 09 14:22:26 2024	1731151346	0	23	23	22
Sat Nov 09 14:22:24 2024	1731151344	0	23	23	22
Sat Nov 09 14:22:26 2024	1731151346	0	23	23	23
Sat Nov 09 14:22:21 2024	1731151341	0	23	23	23
Sat Nov 09 14:22:25 2024	1731151345	0	24	24	23
Sat Nov 09 14:22:24 2024	1731151344	0	25	25	24
Sat Nov 09 14:22:21 2024	1731151341	0	25	25	25
Sat Nov 09 14:22:21 2024	1731151341	0	26	26	25
Sat Nov 09 14:22:21 2024	1731151341	0	26	26	26
Sat Nov 09 14:22:21 2024	1731151341	0	26	26	26
Sat Nov 09 14:22:25 2024	1731151345	0	27	27	27
Sat Nov 09 14:22:24 2024	1731151344	0	27	27	27
Sat Nov 09 14:22:21 2024	1731151341	0	28	28	28
Sat Nov 09 14:22:21 2024	1731151341	0	28	28	28
Sat Nov 09 14:22:21 2024	1731151341	0	29	29	29
Sat Nov 09 14:22:25 2024	1731151345	0	29	29	29
Sat Nov 09 14:22:26 2024	1731151346	0	29	29	28
Sat Nov 09 14:22:20 2024	1731151340	0	29	29	29
Sat Nov 09 14:22:25 2024	1731151345	0	29	29	29
Sat Nov 09 14:22:20 2024	1731151340	0	30	30	29
Sat Nov 09 14:22:21 2024	1731151341	0	30	30	30
Sat Nov 09 14:22:20 2024	1731151340	0	30	30	30
Sat Nov 09 14:22:21 2024	1731151341	0	30	30	30
Sat Nov 09 14:22:20 2024	1731151340	0	31	31	30
Sat Nov 09 14:22:20 2024	1731151340	0	31	31	31
Sat Nov 09 14:22:25 2024	1731151345	0	32	32	31
Sat Nov 09 14:22:20 2024	1731151340	0	32	32	32
Sat Nov 09 14:22:25 2024	1731151345	0	32	32	32
Sat Nov 09 14:22:26 2024	1731151346	0	32	32	32
Sat Nov 09 14:22:20 2024	1731151340	0	33	33	33
Sat Nov 09 14:22:26 2024	1731151346	0	34	34	34
Sat Nov 09 14:22:26 2024	1731151346	0	34	34	34
Sat Nov 09 14:22:26 2024	1731151346	0	34	34	34
Sat Nov 09 14:22:24 2024	1731151344	0	34	34	34
Sat Nov 09 14:22:20 2024	1731151340	0	34	34	34
Sat Nov 09 14:22:24 2024	1731151344	0	35	35	34
Sat Nov 09 14:22:21 2024	1731151341	0	35	35	35
Sat Nov 09 14:22:26 2024	1731151346	0	35	35	35
Sat Nov 09 14:22:25 2024	1731151345	0	35	35	35
Sat Nov 09 14:22:26 2024	1731151346	0	36	36	35
Sat Nov 09 14:22:20 2024	1731151340	0	36	36	35
Sat Nov 09 14:22:24 2024	1731151344	0	36	36	36
Sat Nov 09 14:22:20 2024	1731151340	0	36	36	36
Sat Nov 09 14:22:26 2024	1731151346	0	37	37	36
Sat Nov 09 14:22:24 2024	1731151344	0	37	37	36
Sat Nov 09 14:22:25 2024	1731151345	0	37	37	37
Sat Nov 09 14:22:20 2024	1731151340	0	38	38	37
Sat Nov 09 14:22:21 2024	1731151341	0	38	38	38
Sat Nov 09 14:22:24 2024	1731151344	0	38	38	37
Sat Nov 09 14:22:25 2024	1731151345	0	39	39	39
Sat Nov 09 14:22:26 2024	1731151346	0	40	40	40
Sat Nov 09 14:22:26 2024	1731151346	0	40	40	40
Sat Nov 09 14:22:20 2024	1731151340	0	41	41	40
Sat Nov 09 14:22:21 2024	1731151341	0	41	41	41
Sat Nov 09 14:22:20 2024	1731151340	0	41	41	41
Sat Nov 09 14:22:21 2024	1731151341	0	41	41	41
Sat Nov 09 14:22:24 2024	1731151344	0	41	41	41
Sat Nov 09 14:22:20 2024	1731151340	0	41	41	41
Sat Nov 09 14:22:21 2024	1731151341	0	42	42	42
Sat Nov 09 14:22:25 2024	1731151345	0	42	42	42
Sat Nov 09 14:22:23 2024	1731151343	0	42	42	42
Sat Nov 09 14:22:25 2024	1731151345	0	43	43	42
Sat Nov 09 14:22:21 2024	1731151341	0	43	43	42
Sat Nov 09 14:22:20 2024	1731151340	0	43	43	43
Sat Nov 09 14:22:25 2024	1731151345	0	44	44	43
Sat Nov 09 14:22:21 2024	1731151341	0	44	44	44
Sat Nov 09 14:22:25 2024	1731151345	0	44	44	44
Sat Nov 09 14:22:26 2024	1731151346	0	44	44	44
Sat Nov 09 14:22:21 2024	1731151341	0	44	44	44
Sat Nov 09 14:22:25 2024	1731151345	0	45	45	44
Sat Nov 09 14:22:25 2024	1731151345	0	45	45	44
Sat Nov 09 14:22:25 2024	1731151345	0	45	45	45
Sat Nov 09 14:22:25 2024	1731151345	0	45	45	45
Sat Nov 09 14:22:26 2024	1731151346	0	45	45	45
Sat Nov 09 14:22:26 2024	1731151346	0	45	45	45
Sat Nov 09 14:22:24 2024	1731151344	0	46	46	45
Sat Nov 09 14:22:20 2024	1731151340	0	46	46	46
Sat Nov 09 14:22:25 2024	1731151345	0	46	46	46
Sat Nov 09 14:22:25 2024	1731151345	0	46	46	46
Sat Nov 09 14:22:21 2024	1731151341	0	46	46	46
Sat Nov 09 14:22:21 2024	1731151341	0	47	47	46
Sat Nov 09 14:22:25 2024	1731151345	0	47	47	46
Sat Nov 09 14:22:21 2024	1731151341	0	47	47	47
Sat Nov 09 14:22:21 2024	1731151341	0	47	47	47
Sat Nov 09 14:22:20 2024	1731151340	0	48	48	47
Sat Nov 09 14:22:24 2024	1731151344	0	48	48	47
Sat Nov 09 14:22:26 2024	1731151346	0	48	48	48
Sat Nov 09 14:22:24 2024	1731151344	0	48	48	48
Sat Nov 09 14:22:25 2024	1731151345	0	48	48	48
Sat Nov 09 14:22:26 2024	1731151346	0	48	48	44
Sat Nov 09 14:22:23 2024	1731151343	0	48	48	48
Sat Nov 09 14:22:20 2024	1731151340	0	49	49	49
Sat Nov 09 14:22:21 2024	1731151341	0	49	49	49
Sat Nov 09 14:22:21 2024	1731151341	0	49	49	49
Sat Nov 09 14:22:20 2024	1731151340	0	49	49	49
Sat Nov 09 14:22:21 2024	1731151341	0	49	49	49
Sat Nov 09 14:22:26 2024	1731151346	0	50	50	50
Sat Nov 09 14:22:25 2024	1731151345	0	50	50	50
Sat Nov 09 14:22:20 2024	1731151340	0	50	50	50
Sat Nov 09 14:22:25 2024	1731151345	0	50	50	50
Sat Nov 09 14:22:26 2024	1731151346	0	50	50	50
Sat Nov 09 14:22:24 2024	1731151344	0	50	50	50
Sat Nov 09 14:22:24 2024	1731151344	0	51	51	50
Sat Nov 09 14:22:20 2024	1731151340	0	51	51	51
Sat Nov 09 14:22:21 2024	1731151341	0	51	52	51
Sat Nov 09 14:22:25 2024	1731151345	0	52	52	51
Sat Nov 09 14:22:24 2024	1731151344	0	52	52	51
Sat Nov 09 14:22:20 2024	1731151340	0	52	52	52
Sat Nov 09 14:22:25 2024	1731151345	0	52	52	52
Sat Nov 09 14:22:26 2024	1731151346	0	53	53	52
Sat Nov 09 14:22:21 2024	1731151341	0	53	53	52
Sat Nov 09 14:22:21 2024	1731151341	0	53	53	53
Sat Nov 09 14:22:25 2024	1731151345	0	53	53	53
Sat Nov 09 14:22:25 2024	1731151345	0	53	53	53
Sat Nov 09 14:22:25 2024	1731151345	0	53	53	53
Sat Nov 09 14:22:24 2024	1731151344	0	55	55	54
Sat Nov 09 14:22:25 2024	1731151345	0	55	55	55
Sat Nov 09 14:22:20 2024	1731151340	0	55	55	55
Sat Nov 09 14:22:26 2024	1731151346	0	55	55	55
Sat Nov 09 14:22:25 2024	1731151345	0	55	55	55
Sat Nov 09 14:22:20 2024	1731151340	0	56	56	56
Sat Nov 09 14:22:23 2024	1731151343	0	56	56	56
Sat Nov 09 14:22:25 2024	1731151345	0	56	56	56
Sat Nov 09 14:22:20 2024	1731151340	0	57	57	56
Sat Nov 09 14:22:25 2024	1731151345	0	57	57	57
Sat Nov 09 14:22:25 2024	1731151345	0	57	57	57
Sat Nov 09 14:22:24 2024	1731151344	0	57	57	57
Sat Nov 09 14:22:20 2024	1731151340	0	58	58	40
Sat Nov 09 14:22:21 2024	1731151341	0	58	58	58
Sat Nov 09 14:22:21 2024	1731151341	0	58	58	58
Sat Nov 09 14:22:20 2024	1731151340	0	59	59	58
Sat Nov 09 14:22:24 2024	1731151344	0	59	59	58
Sat Nov 09 14:22:20 2024	1731151340	0	59	59	58
Sat Nov 09 14:22:25 2024	1731151345	0	59	59	58
Sat Nov 09 14:22:26 2024	1731151346	0	59	59	59
Sat Nov 09 14:22:25 2024	1731151345	0	59	59	59
Sat Nov 09 14:22:25 2024	1731151345	0	59	59	59
Sat Nov 09 14:22:24 2024	1731151344	0	59	59	59
Sat Nov 09 14:22:25 2024	1731151345	0	60	60	60
Sat Nov 09 14:22:26 2024	1731151346	0	60	60	60
Sat Nov 09 14:22:21 2024	1731151341	0	60	60	60
Sat Nov 09 14:22:24 2024	1731151344	0	60	60	60
Sat Nov 09 14:22:25 2024	1731151345	0	61	61	60
Sat Nov 09 14:22:21 2024	1731151341	0	61	61	60
Sat Nov 09 14:22:25 2024	1731151345	0	61	61	60
Sat Nov 09 14:22:25 2024	1731151345	0	61	61	61
Sat Nov 09 14:22:25 2024	1731151345	0	61	61	61
Sat Nov 09 14:22:25 2024	1731151345	0	61	61	53
Sat Nov 09 14:22:24 2024	1731151344	0	62	62	62
Sat Nov 09 14:22:25 2024	1731151345	0	62	62	62
Sat Nov 09 14:22:21 2024	1731151341	0	62	62	62
Sat Nov 09 14:22:26 2024	1731151346	0	62	62	62
Sat Nov 09 14:22:25 2024	1731151345	0	63	63	63
