starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 09 14:16:44 2024	1731151004	0	12	12	12
Sat Nov 09 14:16:41 2024	1731151001	0	16	16	14
Sat Nov 09 14:16:49 2024	1731151009	0	28	28	20
Sat Nov 09 14:16:43 2024	1731151003	0	31	31	31
Sat Nov 09 14:16:47 2024	1731151007	0	32	32	31
Sat Nov 09 14:16:48 2024	1731151008	0	32	32	24
Sat Nov 09 14:16:49 2024	1731151009	0	33	33	33
Sat Nov 09 14:16:47 2024	1731151007	0	34	34	34
Sat Nov 09 14:16:49 2024	1731151009	0	36	36	36
Sat Nov 09 14:16:47 2024	1731151007	0	39	39	39
Sat Nov 09 14:16:48 2024	1731151008	0	43	43	42
Sat Nov 09 14:16:48 2024	1731151008	0	43	43	43
Sat Nov 09 14:16:50 2024	1731151010	0	45	45	44
Sat Nov 09 14:16:49 2024	1731151009	0	45	45	45
Sat Nov 09 14:16:45 2024	1731151005	0	46	46	45
Sat Nov 09 14:16:47 2024	1731151007	0	48	48	48
Sat Nov 09 14:16:45 2024	1731151005	0	49	49	48
Sat Nov 09 14:16:49 2024	1731151009	0	53	53	53
Sat Nov 09 14:16:47 2024	1731151007	0	54	54	54
Sat Nov 09 14:16:49 2024	1731151009	0	54	54	54
Sat Nov 09 14:16:48 2024	1731151008	0	55	55	55
Sat Nov 09 14:16:47 2024	1731151007	0	55	55	54
Sat Nov 09 14:16:47 2024	1731151007	0	56	56	56
Sat Nov 09 14:16:45 2024	1731151005	0	57	57	56
Sat Nov 09 14:16:47 2024	1731151007	0	57	57	56
Sat Nov 09 14:16:48 2024	1731151008	0	57	57	57
Sat Nov 09 14:16:47 2024	1731151007	0	57	57	56
Sat Nov 09 14:16:49 2024	1731151009	0	57	57	57
Sat Nov 09 14:16:48 2024	1731151008	0	58	58	57
Sat Nov 09 14:16:47 2024	1731151007	0	59	59	59
Sat Nov 09 14:16:48 2024	1731151008	0	60	60	60
Sat Nov 09 14:16:49 2024	1731151009	0	60	60	60
Sat Nov 09 14:16:49 2024	1731151009	0	61	61	60
Sat Nov 09 14:16:44 2024	1731151004	0	61	61	61
Sat Nov 09 14:16:49 2024	1731151009	0	61	61	61
Sat Nov 09 14:16:48 2024	1731151008	0	61	61	61
Sat Nov 09 14:16:49 2024	1731151009	0	62	62	62
Sat Nov 09 14:16:49 2024	1731151009	0	62	62	62
Sat Nov 09 14:16:48 2024	1731151008	0	64	64	63
Sat Nov 09 14:16:49 2024	1731151009	0	64	64	63
Sat Nov 09 14:16:45 2024	1731151005	0	64	64	64
Sat Nov 09 14:16:45 2024	1731151005	0	65	65	65
Sat Nov 09 14:16:45 2024	1731151005	0	68	68	67
Sat Nov 09 14:16:43 2024	1731151003	0	68	68	67
Sat Nov 09 14:16:48 2024	1731151008	0	68	68	68
Sat Nov 09 14:16:49 2024	1731151009	0	69	69	68
Sat Nov 09 14:16:42 2024	1731151002	0	69	69	57
Sat Nov 09 14:16:49 2024	1731151009	0	69	69	69
Sat Nov 09 14:16:42 2024	1731151002	0	69	69	69
Sat Nov 09 14:16:49 2024	1731151009	0	70	70	69
Sat Nov 09 14:16:46 2024	1731151006	0	70	70	70
Sat Nov 09 14:16:49 2024	1731151009	0	70	70	70
Sat Nov 09 14:16:48 2024	1731151008	0	70	71	70
Sat Nov 09 14:16:49 2024	1731151009	0	71	71	71
Sat Nov 09 14:16:47 2024	1731151007	0	71	71	58
Sat Nov 09 14:16:48 2024	1731151008	0	72	72	72
Sat Nov 09 14:16:45 2024	1731151005	0	72	72	72
Sat Nov 09 14:16:49 2024	1731151009	0	72	72	72
Sat Nov 09 14:16:48 2024	1731151008	0	72	72	72
Sat Nov 09 14:16:49 2024	1731151009	0	73	73	72
Sat Nov 09 14:16:48 2024	1731151008	0	73	73	53
Sat Nov 09 14:16:42 2024	1731151002	0	74	74	73
Sat Nov 09 14:16:49 2024	1731151009	0	74	74	73
Sat Nov 09 14:16:42 2024	1731151002	0	74	74	73
Sat Nov 09 14:16:49 2024	1731151009	0	74	74	74
Sat Nov 09 14:16:49 2024	1731151009	0	75	75	75
Sat Nov 09 14:16:49 2024	1731151009	0	76	76	65
Sat Nov 09 14:16:45 2024	1731151005	0	76	76	76
Sat Nov 09 14:16:49 2024	1731151009	0	77	77	76
Sat Nov 09 14:16:47 2024	1731151007	0	77	77	77
Sat Nov 09 14:16:47 2024	1731151007	0	78	78	77
Sat Nov 09 14:16:45 2024	1731151005	0	79	79	79
Sat Nov 09 14:16:49 2024	1731151009	0	79	79	79
Sat Nov 09 14:16:45 2024	1731151005	0	79	79	79
Sat Nov 09 14:16:49 2024	1731151009	0	80	80	79
Sat Nov 09 14:16:48 2024	1731151008	0	80	80	79
Sat Nov 09 14:16:41 2024	1731151001	1	78	80	78
Sat Nov 09 14:16:48 2024	1731151008	0	80	80	80
Sat Nov 09 14:16:48 2024	1731151008	0	81	81	81
Sat Nov 09 14:16:47 2024	1731151007	0	81	81	81
Sat Nov 09 14:16:42 2024	1731151002	0	81	81	81
Sat Nov 09 14:16:46 2024	1731151006	0	81	81	81
Sat Nov 09 14:16:49 2024	1731151009	0	81	81	81
Sat Nov 09 14:16:45 2024	1731151005	0	81	81	81
Sat Nov 09 14:16:47 2024	1731151007	0	82	82	81
Sat Nov 09 14:16:42 2024	1731151002	0	82	82	82
Sat Nov 09 14:16:47 2024	1731151007	0	83	83	82
Sat Nov 09 14:16:45 2024	1731151005	0	83	83	83
Sat Nov 09 14:16:41 2024	1731151001	1	82	83	81
